"#name"|"Korean Law Dic"
"간접강제 間接强制 [독] indirekter Zwang"|"직접강제·대체집행과 함께 청구권의 강제실현의 한 방법. 감정이나 중재를 할 채무, 계산보고 또는 재산목록을 작성할 채무, 증거에 서명날인할 채무와 같이 타인이 대신해서 할 수 없는 비대체적 작위의무에 관하여 인정된 강제집행의 방법이다. 채무자가 스스로 이행하지 않을 경우 법원은 채권자의 신청에 의하여 상당한 기간을 정하고 그 기간 내에 이행을 하지 않을 때에는 그 지연기간에 따라 일정한 배상을 명함으로써 채무이행을 간접적으로 강제하는 것이다(민소693). 단, 비대체적 작위의무 가운데서도 작가에게 창작을 시키는 것과 같이 채무자의 자유의사에 반하여 강제할 경우, 채무의 내용에 적합한 이행이 될 수 없는 것은 이 방법이 적당치 않을 것이다."
"간접교사 間接敎唆 [독] mittelbare Anstiftung"|"정범을 직접 교사하지 않고 타인에게 교사하여 그 자로 하여금 정범의 실행결의를 하도록 사주하는 간접적인 교사행위를 말한다. 성질상 간접교사도 범죄의 악성을 인정할 수 있으므로 보통 교사와 같이 처벌하여야 한다는 견해가 있으나 형법에 명문규정이 없고 또 간접교사자를 무한히 추급하여 처벌한다는 것은 형사책임의 확실성을 흐리게 할 염려가 있다는 이유로 처벌하지 않는다는 견해가 지배적이다. 다만 집단범죄등 조직적인 범죄에 있어서는 실제로 주동자가 실행행위에 임하지 않고 지령을 통하여 정범을 간접적으로 사주하는 예가 보통이므로 이러한 때에 한하여는 간접교사자의 대부분이 정범으로(공모공동정범) 다루어질 것이다."
"간접민주제 間接民主制 [영] indirect democracy [독]  Mittelbare Demokratie"|"대표민주제 또는 대의제라고도 한다. 국민이 정치에 참여하는 경우를 의원 기타 공무원의 선거에 한정시켜 국민이 그의 대표자인 의원 기타의 피선기관을 통하여 정치권을 행사하는 민주제. 직접민주제에 반대되는 개념. 현재의 민주제는 거의 모두가 간접민주제에 의하고 있다. 우리 헌법도 간접민주제에 입각하고 있으면서 외교·국방·통일 기타 국가안위에 관한 중요정책(헌72)과 헌법개정안에 대한 국민투표(헌130)에 한하여 직접민주제를 가미하고 있다."
"간접사실 間接事實"|"주요사실의 존부를 경험상 추증시키는 자료로 되는 사실. 증빙이라고도 한다. 이것을 증명하는 증거를 간접증거라고 한다."
"간접선거 間接選擧 [영] indirect election [독] indirekte(mittelbare) Wahl"|"직접선거에 대응하는 개념으로서 선거인이 일단 중간선거인을 선거하여 이 중간선거인이 최종적으로 대상자(대통령·의원)를 선거하는 제도이다. 일반선거인의 선거능력에 대한 불신에서 채택하는 경우와, 인구가 많고 지역이 광대함으로써 선거의 간편화를 기하려는 목적에서 채용하는 경우도 있으나 간접선거제의 근원은 전자에 유래한다. 이 제도는 중간선거인이 원선거인의 의사대로 의원을 선출한다면 무용의 절차가 되고, 반면 원선거인의 의사에 반하면 진정한 민의를 왜곡하는 결과가 되는 까닭에 그 한도 내에서는 민주주의의 정신에 위배된다고 할 수 있다. 현존제도로는 미국대통령선거가 대표적인 것이나 정당정치의 발달로 실질적으로는 직접선거와 같다. 우리나라의 구헌법하에서의 대통령선거제도가 바로 이것이었다."
"간접세 間接稅"|"소득세와 같이 소득을 얻은 사람이 직접 내는 세금을 직접세라 한다. 간접세는 주세의 경우와 같이 실제로 주세를 내는 사람은 술값에 포함된 술을 사서 마시는 소비자이지만 이를 세무서에 납부하는 사람은 술을 제조·판매하는 주조회사로서 세금의 부담자와 납부자가 다른 세금이다. 직접세에는 소득세·법인세·상속세 및 증여세·부당이득세·자산재평가세·토지초과이득세 등이 있고, 간접세에는 부가가치세·특별소비세·주세·인지세·전화세 등이 있다."
"간접심리주의 間接審理主義 [독] Mittelbarkeit"|"변론의 청취 및 증거조사를 수소법원(受訴法院) 자신이 행하지 않고 다른 재판기관(예：수명법관·수탁판사)이 변론청취 또는 증거조사의 결과를 소송자료로 하는 주의로서 간접주의라고도 한다. 직접심리주의에 대응하는 말. 현행법상 이 주의는 직접심리주의가 불가능한 경우에 한하여 예외적으로 인정된다."
"간접점유 間接占有"|"사회에는 소유자가 소유물을 자신이 소지하고 있는 경우도 있지만, 그것을 타인에게 소지케 하고 자기는 그것을 관념상으로 지배하고 있는 경우가 있다. 예컨대 시 계의 대주와 차주와의 관계를 보면 시계를 직접 소지하고 있는 것은 차주인데 그는 대 차계약에 의하여 점유하고 있는 것이며, 계약이 끝나면 대주에게 시계를 반환할 의무를 가지고 있으므로, 대주도 사실상 그 시계를 지배하고 있다고 보아진다. 임치인과 수치인, 전당포와 질입인 등의 관계도 위와 같이 생각된다. 이러한 경우의 임차인, 수치인, 전당포와 같이 타인(점유자 본인)을 위한 의사로 물건을 소지하는 자를 직접점유자라고 한다. 대주, 임치인, 질입인 등은 직접점유자의 점유와 함께 스스로도 점유권을 가지게 되고 그 효과를 받는다(민194)."
"간접정범 間接正犯 [독] Mittelbare T terschaft"|"[간접정범]은 일정한 죄로 될 사실을 형법상 책임능력이 없는 자 또는 자유로운 의사결정에 기인하여 행위할 조건을 결여한 자 등을 이용하여 범죄를 실현시키는 자이다. 예를 들면 형법상 책임능력이 없는 14세 미만 자를 교사하여 절도를 시키거나, 광인을 시켜 타인의 주거에 방화를 하도록 하는 경우 등이 이에 해당한다. 이와 같은 경우는 공범이 성립되는 것이 아니라 책임무능력자 등 을 이용한 자가 정범이 된다. 이러한 의미에서 간접정범이라고 한다. 구형법에서는 간 접정범에 관한 명문규정을 두지 않았으나 학설과 판례에서 이를 인정하여 왔다. 현행 형법 제34조 제1항은 이에 관한 명문규정을 두어 [어느행위로 인하여 처벌되지 아니 하는 자 또는 과실범으로 처벌되는 자를 교사 또는 방조하여 범죄행위의 결과를 발생하게 한 자는 교사 또는 방조의 예에 의하여 처벌한다]고 하였다. 간접정범이 성립할 수 있는 주요한 경우는 (1)수단으로서 제공된 사람에게 책임능력 또는 책임조건이 결여되어 있는 경우 (2)피이용자에게 책임성을 부정할 수 있는 사정이 있는 경우, 예를 들면 강제에 의한 경우 (3)피이용자에게 일정한 주관적 의식을 결여하고 있음을 이용하는 경우 (4)피이용자의 일정한 범죄구성의 사실요건을 결여한 행위를 이용하는 경우 등이다."
"간접증거 間接證據 [독] mittelbarer Beweis"|"소송상 적용하여야 할 법률요건에 해당하는 사실, 즉 주요사실(예를 들면 대금반환청구소송에서 소비대차계약을 체결한 사실)의 존부를 직접으로 증명하기 위하여 사용되는 증거(예：차용증)를 직접증거라 하고, 이에 대하여 주요사실을 간접적으로 증명하기 위하여 사용되는 증거, 즉 주요사실의 존부를 생활경험상 추측하게 하는 사실(간접사실)과 직접증거의 증거능력 및 증거가치에 영향을 주는 사실(보조사실)의 존부를 증명하기 위하여 사용되는 증거를 간접증거라고 한다. 예를 들면 대금반환청구소송에서 미리 피고가 원고에게 돈을 차용해 달라고 의뢰한 사실, 그때 피고가 자금에 곤란을 받고 있던 사실은 직접증거인 동시에 원고·피고간의 소비대차계약이 성립한 사실을 추측시키는 간접사실로서, 이러한 사실을 증명하기 위한 증거가 간접증거이다. 또 증언의 신용성을 명확하게 하는 보조사실이 되는 증인의 기억력 등을 밝히는 감정 등도 간접증거이다. 소송에 있어서 주요사실의 인정은 직접증거만으로 이루어지는 경우가 적지 않지만, 이것도 간접사실·보조사실 등과 종합되어 특히 간접사실을 통해서 경험법칙에 따라 주요사실의 존부가 인정되는 경우가 많다."
"간접책임 間接責任"|"주식회사의 주주 또는 유한회사의 사원은 회사자본에 대한 출자의무만을 부담 할 뿐 회사채무에 대하여 채권자에게 직접 아무런 의무도 부담하지 않는다. 이것을 보통 주주나 유한책임사원의 간접책임이라고 하는데 실질적으로 따지면 대외적인 무책임에 불과한 것이다. 합자회사의 유한책임사원도 그 책임이 유한인 점에서는 주주 또는 유한회사의 사원과 같으나 회사채권자에 대하여 직접 회사채무를 변제할 의무를 지는 점에서 이것과 다르다. 상법하에서는 주금전액납입주의로 되어 주식인수인은 원칙적으로 정식주주로 되기 전에 주금전액을 납입하도록 되어 있으므로 특별한 경우를 제외하고는 정식의 주주로서의 출자의무를 부담하지 않는다."
"간접효과설 間接效果說"|"계약해제의 효과에 관한 학설의 하나. 해제는 계약상의 채권관계를 소멸시키지 않고 단지 이에 기인한 작용을 저지할 따름이므로 채무가 아직 이행되지 않은 경우에는 이행을 거절할 수 있는 항변권이 생기며 이미 이행된 경우에는 새로이 반환청구권이 생긴다고 해석하는 학설. 이 견해에 의하면 해제에 의한 원상회복의무는 부당이득의 관념에 의한 것이 아니고 법률의 특별규정에 의한 의무로 본다."
"간주 看做"|"[추정한다]라는 것은 어떤 사항과 동일한가의 여부가 불명한 다른 사항을 어떤 법령의 규정의 관계에서는 동일시하고 최초의 사항에서 발생한 법적 효과를 다른 사항에 대하여서도 발생시키려고 할 경우에 사용되는 용어이다. 다만, 당사자가 두 가지 사항에 대하여 증거를 제시하면 [추정한다]라는 규정에 의하여 두 사항을 동일시하려는 법률효과는 발생시키지 않는다는 점에 다음에서 말하는 간주(본다)와의 차이가 있다. [기한은 채무자의 이익을 위한 것으로 추정한다] (민153①)라고 하는 규정은 기한은 채무자의 이익을 위해서만이 존재하는 것처럼 볼 수 있겠지만 물론 채권자 또는 채무자측에서 반증을 들어 이것을 전복하는 것을 인정한다는 취지를 포함하고 있는 것이다. 이에 대하여 [본다]라고 하는 것은 A라는 사실과는 원래 성질이 다른 B라는 사실과를 어떤 법률관계에서는 동일하게 본다는 것이다. [본다]라고 할 경우에는 [추정한다]라고 할 경우와는 달리 반증을 허용하지 않는다. 아무리 당사자간에서 그것은 사실임에 틀림없다고 하여도 인정하지 않는다. 이른바 법률의 힘으로 백(또는 백인지 흑인지 모르는 것)을 흑으로 보는 것이다."
"간첩 間諜 [영] Spy [독] Spion"|"국제법상의 간첩이란 교전당사자의 작전지대내에서 상대방교전자에게 통보할 의사를 지니고 은밀 또는 허위의 구실하에 행동하며 정보를 수집하고 또는 수집하려고 하는 자를 말한다(헤이그육전법규29). 간첩은 헌법의 교전수단은 아니지만 상대국은 간첩을 체포한 경우에는 재판에 회부하고 이를 처벌할 수 있다(헤이그육전법규30)."
